NAME (ENG),ALT NAMES,REF1,REF2,OBLAST,COUNTRY,IMGQUAL,ICAO,ICAOR,ICAOSRC,CAT,SIG,LATD,LATM,LATS,LOND,LONM,LONS,SRCLATLON (G=GoogleLowRes H=GoogleHighRes X=not found),ELEV1FT,ELEV1SRC,ELEV2FT,ELEV2SRC,ELEV3FT,ELEV3SRC,LAT,LON,MAG2010,R1L,R1W,R1DIMSRC (G=googlelowres H=googlehighres),R1HDG,R1NAM,R1SFC,R2LEN,R2WID,R2DIMSRC,R2HDG,R2OVRUNNE,R2OVRUNSW,R2NAM,R2SFC,R2dg,R2len,USE,OPR,MILPURPOSECODE,UNITS,NOTES,,,,,,,,,,
Reshma,,17 km E,Kinesma,,RU,4,,,,a,,57,25.6,N,42,25.8,E,G,410,,,,,,57.4267,42.4300,,1500,20,G,31,,????,,,,,,,,,,,-,,,Abandoned,Abandoned; little trace remains.,,,,,,,,,,
Perm/Bakharevka,,6 km SW,Perm,Permskaya,RU,,USPB,,,M,2,57,57.1,N,56,11.7,E,G,564,,,,,,57.9517,56.1950,,625,30,G,91,08/26,CONC,,,,,,,,,,,?,,,Abandoned,"Until 1965 this was the major civilian airport in Perm City and handled medium-sized and small aircrafts Li-2, Il-14, An-24, An-2, Yak-12, then the major airport was relocated in Bolshoye Savino military airfield[19].  The airfield is abandoned and used mainly for motor-racing; all the area will be built up soon by apartment houses[19].",,,,,,,,,,
Perm/Bolshoye Savino,,16 km SW,Perm,Permskaya,RU,,USPP,,CD,M,,57,54.9,N,56,1.3,E,D,404,CD,,,,,57.9150,56.0217,,3206,46,D,46,03/21,ASPH,,,,,,,,,,,MIL/CIV,,I,"Mixed use. 764 IAP (38 MiG-25, 1991) (MiG-31, 1991)[#1].","Mixed use airfield with small number of fighter and bomber pads.  Services medium-sized airliners, with 39 parking spots near terminal and cargo area.  During Cold War operated MiG-25, Yak-25, Yak-28.  Received MiG-31s in 1991.  Length given as 2500 m on a 1998 Jeppesen.  The 87th IAD (Fighter Air Division) that was born in 1952 in the new airfield Bolshoye-Savino.  The 87th IAD (Fighter Air Division) was created in 1952 at the new airfield Bolshoye-Savino; construction was under personal control of Marshal Zhukov, who was exiled by Stalin after WW2 in Urals to take command of the Ural military district.",,,,,,,,,,
Nizhny Tagil,Nizhny Tagil Northeast (US),17 km NE,Nizhny Tagil,,RU,4,,,,M,4,57,59.3,N,60,14.1,E,G,886,,,,,,57.9883,60.2350,,2500,40,G,97,,CONC,,,,,,,,,,,MIL/CIV,,,Mixed,Probably a military airfield due to several separate tarmac areas.,,,,,,,,,,
Alapaevsk,Alapayevsk,3 km NE,Alapaevsk,,RU,,,,,N,,57,52.0,N,61,45.2,E,G,427,C81,,,,,57.8667,61.7533,,600,70,C81,50,Rwy 1,DIRT,600,70,C81,110,,,Rwy 2,DIRT,,,CIV,,,,,,,,,,,,,,
Artemovsky,Artemovskiy,3 km NE,Artemovsky,,RU,,,,,N,,57,22.2,N,61,54.1,E,G,525,C81,,,,,57.3700,61.9017,,1200,100,C81,155,Rwy 1,DIRT,,,,,,,,,,,CIV,,,,,,,,,,,,,,
Baykalovo,,1 km W,Baykalovo,,RU,,,,,N,,57,24.0,N,63,44.4,E,G,394,C81,,,,,57.4000,63.7400,,550,70,C81,20,Rwy 1,DIRT,550,70,C81,110,,,Rwy 2,DIRT,,,CIV,,,Civilian,This airstrip existed in the early 1980s but probably disappeared due to construction.,,,,,,,,,,
Tyumen/Roschino,Tyumen Northwest (US),13 km W,Tyumen,Tyumenskaya,RU,,USTR,,CD,M,7,57,10.1,N,65,19.0,E,C,371,C,,,,,57.1683,65.3167,14.0,3000,45,C,48,03/21,CONC,,,,,,,,,,,CIV,,,Civilian,Services large airliners.  The DAFIF source has a slightly differing location as it uses the tip juncture of the two runways.,,,,,,,,,,
Tyumen/Plekhanova,Plekhanovo,4 km W,Tyumen,Tyumenskaya,RU,,USTL,,,M,4,57,8.6,N,65,28.1,E,G,308,O,,,,,57.1433,65.4683,14.0,1100,20,G,34,02/20,ASPH,,,,,,,,,,,CIV,,,Civilian,Small civilian airport with parking tarmac.,,,,,,,,,,
Petrovich,,,,,,,,,,,,57,48.8,N,65,43.7,E,C,,,,,,,57.8133,65.7283,,,,,,,,,,,,,,,,,,,,,,Listed as new landing site in 2009 CAICA chart changes.,,,,,,,,,,
Borovsky,,,,,,,,,,,,57,2.1,N,65,44.7,E,C,,,,,,,57.0350,65.7450,,,,,,,,,,,,,,,,,,,,,,Listed as new landing site in 2009 CAICA chart changes.,,,,,,,,,,
Nizhnyaya Tavda,,,,,RU,,,,,,,57,39.8,N,66,13.4,E,,,,,,,,57.6633,66.2233,,,,,,,,,,,,,,,,,,,,,,Listed as closed site in 2009 CAICA chart changes.,,,,,,,,,,
Tevriz,,4 km W,Tevriz,Omskaya,RU,7,UNOW,,,M,,57,30.3,N,72,19.9,E,H,217,,,,,,57.5050,72.3317,,1600,30,H,64,05/23,DIRT,,,,,,,,,,,CIV,,,Civilian,"Minor, spartan airfield.  Accommodates small transports.  Avia.ru gives a longitude of 072-16E.",,,,,,,,,,
Tasayevo,,5 km S,Tasayevo,,RU,4,,,,M,,57,10.5,N,94,53.3,E,G,299,,,,,,57.1750,94.8883,,1300,30,G,44,,CONC,,,,,,,,,,,CIV,,,Civilian,"Small civilian airfield; no taxiways, small tarmac.",,,,,,,,,,
Kirensk,,3 km W,Kirensk,Irkutskaya,RU,,UIKK,,D,M,,57,46.3,N,108,3.5,E,G,840,,,,,,57.7717,108.0583,,1560,40,G,89,09/27,ASPH,,,,,,,,,,,CIV,,,Civilian,Handles small transport aircraft.  This was part of the Yakutsk-Kirensk-Krasnoyarsk leg of the WWII Lend-Lease program.,,,,,,,,,,
Bodaybo,,3 km NE,Bodaybo,,RU,9,UIKB,,D,N,,57,52.0,N,114,14.6,E,H,919,,,,,,57.8667,114.2433,,1650,42,H,72,06/24,DIRT,,,,,,,,,,,CIV,,,Civilian,"Services small transports.  The full length of the airfield is 2350 m, but a 600 x 40 m concrete stretch on the northeast side is in poor condition and is not part of the marked runway area.  May be a former combat airfield.",,,,,,,,,,
Spokoynyy,,9 km NW,Olenevod,,RU,,,,,,,57,52.0,N,128,2.4,E,G,3375,G,,,,,57.8667,128.0400,,1000,30,G,126,,GRAV,,,,,,,,,,,,,,Civilian,Appears to be a minor industrial airfield.,,,,,,,,,,
Ust-Khayryuzovo,Ust-Khairyuzovo,1 km NW,Ust-Khayryuzovo,Kamchatskaya,RU,,UHPU,,CD,N,2,57,6.0,N,156,44.2,E,G,49,T,,,,,57.1000,156.7367,-8.0,1400,20,G,12,02/20,DIRT,,,,,,,,,,,CIV,,,Civilian,Small unimproved airfield on west shores of Kamchatka.,,,,,,,,,,
Tigil,,4 km NE,Tigil,Kamchatskaya,RU,,UHPG,,,M,4,57,47.0,N,158,43.8,E,G,430,,,,,,57.7833,158.7300,-7.0,1850,75,A,72,07/25,DIRT,,,,,,,,,,,CIV,,,Civilian,Services small transports.,,,,,,,,,,
Uka,,11 km NW,Uka,Kamchatskaya,RU,,,,,N,3,57,55.7,N,162,1.3,E,G,10,,,,,,57.9283,162.0217,-5.0,2200,20,G,178,18/36,GRAV,,,,,,,,,,,?,,,Unknown,"Probably a civilian airfield, but with ramp space.",,,,,,,,,,
Liepaja/International,"Liepaya, Liepaja, Liepaja East (US)",6 km E,Liepaja,Latvia,LV,,EVLA,,,M,3,56,31.1,N,21,5.8,E,W,16,W,,,,,56.5183,21.0967,5.0,2002,40,W,70,07/25,ASPH,,,,,,,,,,,CIV,,,Civilian,"Listed on 1974 GNC-3 as having jet facilities, so it may have had military use; runways are substandard length, though.  Appears on 1993 Jeppesen chart as emergency airfield.  Parks 9 jets.",,,,,,,,,,
Vainode,"Vainodo, Vainode, Vainodo, Vaynodo, Toyvanede",31 km S,Skrunda,Latvia,LV,,,,,M,,56,24.2,N,21,53.2,E,G,518,,,,,,56.4033,21.8867,5.0,2500,40,G,86,,CONC,,,,,,,,,,,MIL,,I,"54 GV IAP (38 Su-27, 1991)[#1].",Abandoned airfield.  Only 4 km from southern border. ,,,,,,,,,,
Kruopiai Highway Strip,,9 km SE,Naujoji Akmene,Latvia,LV,4,,,,M,,56,15.9,N,22,59.2,E,G,269,,,,,,56.2650,22.9867,5.0,3000,30,G,143,,ASPH,,,,,,,,,,,MIL,,G,Highway strip,Distinctly visible on satellite; has one small parking area on north side.,,,,,,,,,,
Tukums,,5 km SE,Tukums,Latvia,LV,9,,,,M,,56,56.6,N,23,13.4,E,H,233,,,,,,56.9433,23.2233,,2500,45,H,139,14/32,CONC,,,,,,,,,,,MIL,,A,,Spartan military airfield with single long ramp and reveted area.  Starting in the 1960s the 668 BAP flew the Yak-28 Brewer[#34].  The unit became 668 MShAP and by the 1990s was flying 30 Su-24 aircraft.  Also based here was the 240 MSHAP flying 29 Su-24 aircraft.,,,,,,,,,,
Riga/Skulte/International,,8 km SW,Riga,Latvia,LV,,EVRA,,C,M,,56,55.4,N,23,58.3,E,C,33,C,,,,,56.9233,23.9717,6.0,2550,45,C,5,18/36,ASPH,,,,,,,,,,,MIL,,CIVE,"145 OPLAZ (Il-38, 1992)[#3].",West side has 11 large revetments (one Il-76 was noted on satellite).  East side is civilian terminal complex with 39 large/medium spaces and at least 20 spaces for small aircraft.  400 meter overrun at both ends of runway.,,,,,,,,,,
Yelgava,Jelgava,3 km NW,Yelgava,Latvia,LV,9,,,,M,,56,40.4,N,23,40.7,E,H,20,,,,,,56.6733,23.6783,,2500,40,H,89,,CONC,,,,,,,,,,,MIL,,H,"285 OVEREB (19 Mi-8, 1991).","Probably a forward deployment attack base.  The airfield is in a severe state of decay and trees are growing throughout the runway area.  The airfield is marginally operational though and several general aviation planes, including an An-2, are still parked there.",,,,,,,,,,
Tervete,,2 km E,Kainamuiza,Latvia,LV,4,,,,a,0,56,29.0,N,23,25.0,E,O,151,,,,,,56.4833,23.4167,,2000,,,???,,????,,,,,,,,,,,-,,,Abandoned,"Minor airfield, maybe WWII vintage, appears on old ONC D-3 chart.  Air base, if present, was overgrown by forest; no trace remains.",,,,,,,,,,
Barysiai,"Meskuicia, Meskuiciai",21 km NW,Pakruojis,Latvia,LV,,EYSB,,,M,3,56,4.2,N,23,33.5,E,W,269,W,,,,,56.0700,23.5583,5.0,1000,30,W,104,10/28,ASPH,,,,,,,,,,,CIV,,,Civilian,Small civilian airstrip with one tarmac and some buildings.,,,,,,,,,,
Riga/Spilve,Tsentralny (US),5 km N,Riga,Latvia,LV,9,,,,M,1,56,59.5,N,24,4.5,E,H,72,,,,,,56.9917,24.0750,,1650,45,H,148,,CONC,,,,,,,,,,,-,,,Abandoned,"Former 1950s-era military base, now unused.  Ring taxiway with small revetments. High-res sat only shows two general-aviation planes parked.  Large Technical School until 90's with one of each major aircraft type, most broken up around 96/7 (AviaMK).",,,,,,,,,,
Riga/Rumbula,,11 km SE,Riga,Latvia,LV,,,,,M,2,56,53.0,N,24,13.6,E,H,26,,,,,,56.8833,24.2267,,2000,60,H,126,,CONC,,,,,,,,,,,MIL/CIV,,,Civilian,"Airfield may have had military use in the 1950s and 1960s.  However now, 1-meter Google images indicate that it is primarily a non-aviation industrial park, and only about five small general aviation planes are based here.",,,,,,,,,,
Lielvarde,,7 km N,Lielvarde,Latvia,LV,4,,,,M,5,56,46.7,N,24,51.2,E,G,200,,,,,,56.7783,24.8533,,2500,40,G,8,,CONC,,,,,,,,,,,MIL,,A,"899 BAP (Su-24, 1970s) (MiG-27, 2000s).","Fighter or interceptor airfield southeast of Riga, built in late-1970s for an Su-24 regiment.  Transferred from Russia to Latvia in 1994 and now forms the core of operations for the Latvian Air Force.  (Thanks to AviaMK)",,,,,,,,,,
Yekabpils (Krustpils),Krustpils (US),3 km NE,Jekabpils,Latvia,LV,4,,,,M,,56,32.1,N,25,53.5,E,G,289,,,,,,56.5350,25.8917,,2500,40,G,74,,CONC,,,,,,,,,,,MIL,,R,,This combat airfield was home to 886 ORAP which had the Su-17 and flew Yak-28R starting in the mid 1970s [#34] but upgraded to the Su-24MR.,,,,,,,,,,
Idritsa,Idrica,2 km N,Idritsa,,RU,,,,,a,0,56,20.9,N,28,53.6,E,G,443,,,,,,56.3483,28.8933,,2000,30,G,124,,?,,,,,,,,,,,-,,,Abandoned,"Almost nothing remains, not even geometrics, except a cleared-out area.",,,,,,,,,,
Velikiye Luki,,7 km NE,Velikiye Luki,,RU,,ULOL,,CD,M,,56,22.9,N,30,36.5,E,G,328,,,,,,56.3817,30.6083,,1422,40,G,153,15/33,ASPH,,,,,,,,,,,CIV,,,Civilian,Civilian; accommodates small airliners.,,,,,,,,,,
Andreapol,,3 km E,Andreapol,Tverskaya,RU,,,,,M,,56,38.7,N,32,18.8,E,H,751,,,,,,56.6450,32.3133,,2500,60,H,13,,CONC,,,,,,,,,,,MIL,,I,"28 GV IAP (38 MiG-23P, 1991)[#1] (MiG-29, -1997-2003-)[#7].","Appears to have been built as an interceptor base, with mostly fighter revetments.  MiG-29 crashed 12 May 2005 near base.  Satellite imagery showed at least 28 MiG-29 aircraft on site.",,,,,,,,,,
Rzhev/Bakhmutovo,,18 km NW,Rzhev,Tverskaya,RU,,,,,M,0,56,22.3,N,34,5.5,E,G,699,,,,,,56.3717,34.0917,,2000,40,G,55,,????,,,,,,,,,,,-,,,Abandoned,Probably abandoned in 1970s; treeline of forest surrounds former airfield.  Confidence of site on satellite is mediocre.,,,,,,,,,,
Rzhev,"Ryev, Rzev, Rjzev",5 km E,Rzhev,Tverskaya,RU,,,,,M,,56,15.6,N,34,24.5,E,G,636,,,,,,56.2600,34.4083,,2500,50,H,69,,CONC,,,,,,,,,,,MIL,,E,BKHAT (Tu-128M) [#1].,"Tu-128 depot airfield during Cold War.  Appears to service minor amounts of large military aircraft, including MiG-29 aircraft, with about 100 of these parked. ",,,,,,,,,,
Tver/Zmeyevo,Kalinin North (US),6 km NE,Tver,Tverskaya,RU,,UUBN,XUBN,C,a,0,56,54.8,N,35,56.1,E,G,459,C,,,,,56.9133,35.9350,,750,85,C,38,03/21,DIRT,,,,,,,,,,,-,,,Abandoned,Abandoned airfield.,,,,,,,,,,
Tver/Migalovo,"Kalinin (US), Mikhailovo",10 km W,Tver,Tverskaya,RU,,UUEM,XUEM,CD,M,,56,49.5,N,35,45.5,E,CD,469,D,,,,,56.8250,35.7583,9.0,2500,49,D,75,07/25,CONC,,,,,,,,,,,MIL,,C,"8 VTAP (An-12, An-22)[#4].  196 VTAP (Il-76)[#7].  224 LO VTA (Il-76, An-124)[#7].  2 TSNII [#7].  274 APIB (Su-17C), 1994.  8 GV.  An-22, An-12.","Large military transport base.  Currently houses all of Russia's remaining An-22 fleet. IL76 base, with some An12 stored. (AviaMK)",,,,,,,,,,
Klin,,4 km N,Klin,,RU,,XUMN,,C,M,,56,22.0,N,36,44.3,E,G,548,C,,,,,56.3667,36.7383,,2400,50,C,75,07/25,ASPH,,,,,,,,,,,MIL,,G,Military,Klin is a field between Moscow and Tver with many military transport types IL76/An12/26/Tu134 etc and airfield was active until recently. Many aircraft still here but most are stored.  (AviaMK),,,,,,,,,,
Nikitino,,,,,RU,,,,,,,56,48.4,N,37,41.1,E,C,394,C,,,,,56.8067,37.6850,,900,40,C,76,07/25,DIRT,,,,,,,,,,,,,,,,,,,,,,,,,
Kimry/Borky,"Kletino (US), Borki",8 km S,Kimry,,RU,,UUEI,,C,M,,56,47.9,N,37,19.8,E,G,417,C,,,,,56.7983,37.3300,,1415,40,C,72,06/24,ASPH,,,,,,,,,,,CIV,,,Civilian,Small utility airfield.  Has a Tu-124 preserved outside the field (AviaMK).  L-29 jets have operated out of this airport.,,,,,,,,,,
Kirzhach,,,,,RU,,XUMV,,C,N,,56,9.4,N,38,49.8,E,C,509,C,,,,,56.1567,38.8300,,1800,70,C,21,01/19,DIRT,,,,,,,,,,,CIV,,,,,,,,,,,,,,
Ivanovo/Yuzhny (Civilian),Ivanovo/Yuzhne,7 km SW,Ivanovo,,RU,,UUBI,,C,M,,56,56.5,N,40,56.0,E,G,413,C,,,,,56.9417,40.9333,,2504,42,C,123,11/29,ASPH,,,,,,,,,,,CIV,,,Civilian,Civilian airport for Ivanovo.  Handles medium-sized airliners.,,,,,,,,,,
Dobrynskoye,,16 km NE,Vladimir,,RU,,XUDD,,C,X,,56,14.7,N,40,35.5,E,G,410,C,,,,,56.2450,40.5917,,1800,80,G,14,01/19,CONC,,,,,,,,,,,-,,,Abandoned,"Old fighter airfield northeast of Moscow.  Does not appear on latest JNC at all, though an NDB exists.",,,,,,,,,,
Teykovo,,,,,RU,,,XUDT,C,N,,56,50.5,N,40,29.2,E,C,427,C,,,,,56.8417,40.4867,,2000,80,C,85,,DIRT,,,,,,,,,,,,,,,,,,,,,,,,,
Vladimir/Semyazino,,6 km W,Vladimir,,RU,,UUBL,,C,M,,56,7.6,N,40,18.9,E,H,554,,,,,,56.1267,40.3150,,1909,42,C,29,02/20,GRAV or ASPH,,,,,,,,,,,CIV,,,Mixed,Forestry commision and VVS An26 base.  Displaced threshold leaves 1700 m for northbound takeoff.,,,,,,,,,,
Ivanovo/Yasyunikha,,,,,RU,,XUDN,,C,N,,56,57.8,N,41,4.4,E,C,433,C,,,,,56.9633,41.0733,,700,60,C,150,14/32,DIRT,,,,,,,,,,,CIV,,,,,,,,,,,,,,
Vyazniki/Severny,,,,,RU,,XUDJ,,C,N,,56,12.0,N,42,11.0,E,C,410,,,,,,56.2000,42.1833,,800,100,C,109,10/28,DIRT,,,,,,,,,,,,,,,,,,,,,,,,,
Chkalovsky,,7 km S,Chkalovsk,Nizhegorodskaya,RU,,UUMU,,,M,,56,42.0,N,43,11.5,E,G,331,,,,,,56.7000,43.1917,,2000,40,G,115,,CONC,,,,,,,,,,,-,,,Abandoned,"Old airfield located alongside lake; no structures or facilities.  Not to be confused with Moscow/Chkalovskoye, Kaliningrad/Chkalovsk, or Omsk/Chlalovsk.",,,,,,,,,,
Pravdinsk,,5 km NW,Balahna,Nizhegorodskaya,RU,,,,,M,,56,31.3,N,43,28.8,E,H,253,,,,,,56.5217,43.4800,,2500,45,G,153,14/32,ASPH,,,,,,,,,,,MIL,,I,"786 IAP (5 MiG-25) (31 MiG-31, 1991) [#1]","Located 38 km northwest of Nizhny Novgorod (Gorky).  Air base has numerous revetments and hardened areas, but appears to be decommissioned.",,,,,,,,,,
Nizhny Novgorod/Sormovo,Gorkiy Sormovo (US),8 km W,Nizhny Novgorod,,RU,,,,,M,,56,19.1,N,43,47.5,E,H,249,,,,,,56.3183,43.7917,,3000,65,H,75,06/24,CONC,,,,,,,,,,,MIL,,C,110 VTAP (prob. Il-76)[#4],Military base with Mig25/31. Local aircraft plant with aircraft based here. (AviaMK),,,,,,,,,,
Nizhny Novgorod/Strigino,Gorkiy Strigino (US),14 km SW,Nizhny Novgorod,,RU,,UWGG,,CD,M,,56,13.8,N,43,47.0,E,CD,256,CD,,,,,56.2300,43.7833,11.0,2805,45,CD,11,18R/36L,CONC,,,,,,,,,,,CIV,,,Civilian,Civil terminal with very large apron that can accommodate 44 aircraft. 24-hour operations.  Several Ministry of Interior IL76's based here. (AviaMK),,,,,,,,,,
Yoshkar Ola,,9 km N,Yoshkar Ola,Mariya,RU,,UWKJ,,,M,5,56,42.3,N,47,53.7,E,G,348,A,,,,,56.7050,47.8950,,2400,45,A,173,16/34,ASPH,,,,,,,,,,,CIV,,,Civilian,Handles small airliners.,,,,,,,,,,
Cheboksary,,7 km SE,Cheboksary,Chuvashskaya,RU,,UWKS,,CD,M,,56,5.4,N,47,20.8,E,D,558,D,,,,,56.0900,47.3467,12.0,2512,49,D,72,06/24,CONC,,,,,,,,,,,CIV,,,Civilian,Services medium-sized airliners.,,,,,,,,,,
Danilovo,Yoshkar Ola (US),11 km E,Yoshkar Ola,Samarskaya,RU,,,,,M,7,56,39.6,N,48,2.0,E,G,384,,,,,,56.6600,48.0333,12.0,2350,30,G,176,16/32,CONC,,,,,,,,,,,MIL,,I,"681 IAP (38 MiG-23MLD, 1991)[#1], (MiG-23, 1991)[#1].",Small fighter airfield.,,,,,,,,,,
Izhevsk,Izhevsk Southeast (US),15 km E,Izhevsk,Udmurtskaya,RU,,USII,,C,M,,56,50.1,N,53,27.8,E,G,531,,,,,,56.8350,53.4633,,2500,45,G,25,01/19,CONC,,,,,,,,,,,CIV,,,Civilian,Handles small airliners.,,,,,,,,,,
Neftekamsk,,6 km NE,Neftekamsk,Bashchkortostan,RU,,UWUF,,,M,,56,6.4,N,54,20.8,E,G,456,,,,,,56.1067,54.3467,,1300,51,,15,18/36,ASPH,,,,,,,,,,,CIV,,,Civilian,Minor airfield.,,,,,,,,,,
Arti,,2 km NW,Arti,,RU,,,,,N,,56,26.1,N,58,31.3,E,G,1093,C81,,,,,56.4350,58.5217,,550,70,C81,90,Rwy 1,DIRT,550,70,C81,10,,,Rwy 2,DIRT,,,CIV,,,,,,,,,,,,,,
Ekaterinburg/Koltsovo,"Sverdlovsk, Kaitsova, Yekaterinburg/Koltsovo",17 km SE,Ekaterinburg,,RU,,USSS,,CD,M,,56,44.6,N,60,48.2,E,CD,764,CD,,,,,56.7433,60.8033,14.0,3025,53,CD,94,08R/26L,CONC,,,,,,,,,,,MIL/CIV,,C,Mixed.  128 OSAZ (An-26)[#7].,Services a wide range of civilian airliners; parks up to 65 aircraft.  A Su-9 from this airfield intercepted Gary Powers U-2 in 1960 but was unable to shoot it down; the U-2 crashed near Povarnya.,,,,,,,,,,
Ekaterinburg/Aramil,"Sverdlovsk, Yekaterinburg/Uktus, Uktus",20 km SE,Ekaterinburg,,RU,,USSK,,,M,,56,42.1,N,60,47.2,E,H,738,C81,,,,,56.7017,60.7867,14.0,1775,40,H,90,08/26,ASPH,,,,,,,,,,,CIV,,,Civilian,Small airfield 5 km south of larger Koltsovo airport.  Handles small transport aircraft.  As of 1981 the runway was 1300 x 40 m [CAICA].,,,,,,,,,,
Kamensk Uralskiy,,5 km E,Kamensk-Uralskiy,,RU,,,,,M,6,56,26.2,N,61,59.2,E,G,502,O,,,,,56.4367,61.9867,14.0,2700,45,G,123,11/29,CONC,,,,,,,,,,,MIL,,,Military,Medium-sized military airfield with long 2600 x 70 m tarmac.,,,,,,,,,,
Shadrinsk,Sadrinsk,6 km SE,Shadrinsk,,RU,,,,,M,,56,2.2,N,63,40.7,E,H,459,,,,,,56.0367,63.6783,,2500,40,H,87,08/26,CONC,,,,,,,,,,,MIL,,C,"600 GV TAD (Il-76M, starting 1992).",Large tarmac area. Il-76 base.,,,,,,,,,,
Chernaya Rechka,,,,,RU,,,,,,,56,56.5,N,65,14.5,E,C,,,,,,,56.9417,65.2417,,,,,,,,,,,,,,,,,,,,,,Listed as new landing site in 2009 CAICA chart changes.,,,,,,,,,,
Tara,,???,NEED ONC D-5,,RU,,UNOT,,,x,,56,54.0,N,74,18.0,E,,253,,,,,,56.9000,74.3000,,1200,175,,,12/30,DIRT,,,,,,,,,,,,,,,,,,,,,,,,,
Tomsk/Bogashevo,,21 km SE,Tomsk,,RU,9,UNTT,,C,M,,56,23.0,N,85,12.6,E,H,597,,,,,,56.3833,85.2100,,2500,42,H,33,02/20,ASPH,,,,,,,,,,,CIV,,,Civilian,Civilian airport but may be hybrid.  Services medium-size airliners.,,,,,,,,,,
Achinsk,Achinsk East (US),4 km E,Achinsk,Krasnoyarski,RU,,UNKS,,,M,,56,16.1,N,90,34.6,E,G,1033,,,,,,56.2683,90.5767,,2450,42,G,87,08/26,CONC,,,,,,,,,,,?,,,Unknown,Civilian airfield with minor facilities for small number of fighter aircraft. Source [#1] seems to list 712 IAP at Kansk but lists Achinsk in parentheses.,,,,,,,,,,
Krasnoyarsk/Emelyanova,"Yemelyanovo, Yelovaya (US)",37 km NW,Krasnoyarsk,Krasnoyarski,RU,,UNKL,,CD,M,,56,10.4,N,92,29.6,E,CD,942,CD,,,,,56.1733,92.4933,4.0,3703,60,D,113,11R/29L,ASPH,,,,,,,,,,,CIV,,,Civilian,"Major civil airport opened in 1980.  Kras Air main base with large airliners separate military area. (AviaMK)  Main runway apron holds 47 aircraft; small runway has own terminal and met office, and holds 94 small aircraft.",<http://www.krasair.ru/doc.php?id=1156>,,,,,,,,,
Krasnoyarsk/Cheremshanka,,4 km NE,Krasnoyarsk,,RU,,UNKM,,,X,0,56,2.5,N,92,54.3,E,H,676,,,,,,56.0417,92.9050,,2000,40,G,48,,CONC,,,,,,,,,,,-,,,Abandoned,"Former airfield that has been converted into a boulevard lined with apartment complexes.  There was an An-2 maintenance facility, which is now gone.  It was a utilitarian airfield with An-2/An-24/An-6, probably now based at Emelyanovo.",,,,,,,,,,
Kansk/Civil,,4 km S,Kansk,,RU,,,,,M,1,56,9.1,N,95,42.8,E,H,699,,,,,,56.1517,95.7133,,1960,40,H,95,,DIRT,,,,,,,,,,,CIV,,,Civilian,Small civilian airstrip; may be abandoned.  One area of the airfield contains an older concrete extension that is 80 m wide but has fallen into disrepair.,,,,,,,,,,
Kansk/Military,,9 km S,Kansk,,RU,,,,,M,,56,7.4,N,95,39.7,E,H,1037,,,,,,56.1233,95.6617,,2500,40,H,57,,CONC,,,,,,,,,,,MIL,,I,"712 IAP (MiG-31)[#7], (MiG-25, 1991)[#1].","Fighter base with about 10 remote revetments.  Old 2000 m runway, no taxiways, exists between city and airfield.",,,,,,,,,,
Bratsk,,8 km N,Bratsk,Irkutskaya,RU,,UIBB,,CD,M,,56,22.2,N,101,41.9,E,CD,1598,D,,,,,56.3700,101.6983,-1.0,3160,60,CD,115,12/30,CONC,,,,,,,,,,,MIL/CIV,,I,"Mixed.  350 IAP (MiG-31, 1991)[#1]","Mixed use airfield, servicing medium-sized airliners with 32 parking spaces. Also a number of branched fighter revetments.  CAICA 2000 gave elevation as 491 m.",,,,,,,,,,
Zheleznogorsk,,10 km S,Zheleznogorsk,,RU,,UIBV,,,M,,56,29.3,N,104,6.2,E,G,1946,,,,,,56.4883,104.1033,,1400,43,,93,10/28,CONC,,,,,,,,,,,CIV,,,Civilian,Services small airliners.,,,,,,,,,,
Ust-Kut,,9 km N,Ust-Kut,Irkutskaya,RU,,UITT,,,M,,56,51.4,N,105,43.8,E,G,2188,,,,,,56.8567,105.7300,,2000,45,,117,12/30,CONC,,,,,,,,,,,CIV,,,Civilian,Services small airliners.,,,,,,,,,,
Kazachinsk,,1 km NW,Kazachinsk,,RU,,UITK,,,M,3,56,16.7,N,107,34.0,E,G,1499,,,,,,56.2783,107.5667,,1585,30,G,35,,ASPH,,,,,,,,,,,CIV,,,Civilian,Civilian airport.,,,,,,,,,,
Severomuisk,Muyukan (US),2 km E,Severomuisk,,RU,,,,,N,,56,11.1,N,113,36.4,E,G,2526,,,,,,56.1850,113.6067,,1650,30,G,63,,GRAV,,,,,,,,,,,CIV,,,Civilian,Civilian airport with dirt runway.,,,,,,,,,,
Taksimo,,3 km NE,Taksimo,,RU,,,,,M,3,56,21.7,N,114,55.8,E,G,2001,,,,,,56.3617,114.9300,,2000,30,G,81,,CONC,,,,,,,,,,,CIV,,,Civilian,Paved airport with parking apron.  Civilian.,,,,,,,,,,
Muya,,2 km NE,Muya,,RU,,,,,N,,56,26.9,N,115,38.8,E,G,2001,,,,,,56.4483,115.6467,,760,30,G,69,,GRAV,,,,,,,,,,,CIV,,,Civilian,Civilian airport.,,,,,,,,,,
Chara,Chara/Kyust-Kemda (US),2 km NE,Chara,,RU,9,UIAR,,,M,4,56,54.9,N,118,16.2,E,H,2201,,,,,,56.9150,118.2700,,1800,35,H,44,06/24,CONC,,,,,,,,,,,CIV,,,Civilian,Wide paved runway and parking apron.  Civilian airport.,,,,,,,,,,
